Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.17CF_1261, -1.916134E-005, -0.217796, -1.916134E-005, -0.217796, 0, 0
Line.17CF_1305, 9.502621E-007, -0.07317463, 9.502621E-007, -0.07317463, 0, 0
Line.17CF_1351, -1.046062E-005, -0.07330295, -1.046062E-005, -0.07330295, 0, 0
Line.17CF_1478, 1.861973E-005, -0.07384845, 1.861973E-005, -0.07384845, 0, 0
Line.17CF_1481, 7.039967E-005, -0.07359946, 7.039967E-005, -0.07359946, 0, 0
Line.17CF_1495, 6.3575E-005, -0.2197679, 6.3575E-005, -0.2197679, 0, 0
Line.17CF_1561, 0.0004907403, -0.2196803, 0.0004907403, -0.2196803, 0, 0
Line.17CF_1618, 4.903514E-005, -0.218704, 4.903514E-005, -0.218704, 0, 0
Line.17CF_1619, 5.029447E-005, -0.2191928, 5.029447E-005, -0.2191928, 0, 0
Line.17CF_1719, 5.686286E-006, -0.2201087, 5.686286E-006, -0.2201087, 0, 0
Line.17CF_1775, 2.46737E-005, -0.2208557, 2.46737E-005, -0.2208557, 0, 0
Line.17CF_1776, 2.716548E-005, -0.07349341, 2.716548E-005, -0.07349341, 0, 0
Line.17CF_1784, 2.307272E-005, -0.2197433, 2.307272E-005, -0.2197433, 0, 0
Line.17CF_1785, -5.538316E-006, -0.07374459, -5.538316E-006, -0.07374459, 0, 0
Line.17CF_1786, -2.301333E-006, -0.07329496, -2.301333E-006, -0.07329496, 0, 0
Line.17CF_1787, 8.985843E-005, -0.07318726, 8.985843E-005, -0.07318726, 0, 0
Line.17CF_1788, -2.141029E-005, -0.2199961, -2.141029E-005, -0.2199961, 0, 0
Line.17CF_1789, 1.623684E-005, -0.07325124, 1.623684E-005, -0.07325124, 0, 0
Line.17CF_1790, 3.301894E-006, -0.07358483, 3.301894E-006, -0.07358483, 0, 0
Line.17CF_1791, 1.715685E-005, -0.2194473, 1.715685E-005, -0.2194473, 0, 0
Line.17CF_1792, 3.579599E-006, -0.2194463, 3.579599E-006, -0.2194463, 0, 0
Line.17CF_1897, 3.750145E-005, -0.2205485, 3.750145E-005, -0.2205485, 0, 0
Line.17CF_653, 0.0002157484, -0.2196121, 0.0002157484, -0.2196121, 0, 0
Line.17CF_901, -4.766373E-007, -0.07313503, -4.766373E-007, -0.07313503, 0, 0
Line.17CS_1594, 0.06992222, -0.150235, 0.06992222, -0.150235, 0, 0
Line.17CS_1751, 7.498327, 7.277101, 7.498327, 7.277101, 0, 0
Line.17CS_1780, 7.49443, 7.273513, 7.49443, 7.273513, 0, 0
Line.17CS_1781, 5.976539, 5.756302, 5.976539, 5.756302, 0, 0
Line.17CS_596, 5.633132, 5.414328, 5.633132, 5.414328, 0, 0
Line.17DJ_22, -2.588891E-005, -0.2213165, -2.588891E-005, -0.2213165, 0, 0
Line.17FR_1777, 0.07460448, -0.1457194, 0.07460448, -0.1457194, 0, 0
Line.17FR_778, 0.0008419526, -0.07272643, 0.0008419526, -0.07272643, 0, 0
Line.17RL_1739, 5.753291, 5.534012, 5.753291, 5.534012, 0, 0
Line.17RL_5212, 8.273399E-006, -0.2212817, 8.273399E-006, -0.2212817, 0, 0
Line.18CF_1023, 0.0001962781, -0.2201475, 0.0001962781, -0.2201475, 0, 0
Line.18CF_1046, 2.878725E-006, -0.07229479, 2.878725E-006, -0.07229479, 0, 0
Line.18CF_1062, 1.293168E-005, -0.07139315, 1.293168E-005, -0.07139315, 0, 0
Line.18CF_1073, -1.104534E-005, -0.07138726, -1.104534E-005, -0.07138726, 0, 0
Line.18CF_1091, 0.0001118373, -0.1465254, 0.0001118373, -0.1465254, 0, 0
Line.18CF_1385, 0.0001892502, -0.07204018, 0.0001892502, -0.07204018, 0, 0
Line.18CF_1457, 5.643087E-005, -0.07659212, 5.643087E-005, -0.07659212, 0, 0
Line.18CF_1679, 3.666619E-006, -0.07296015, 3.666619E-006, -0.07296015, 0, 0
Line.18CF_1763, 9.542755E-006, -0.072301, 9.542755E-006, -0.072301, 0, 0
Line.18CF_1919, -1.580262E-005, -0.07670185, -1.580262E-005, -0.07670185, 0, 0
Line.18CF_234, 0.0002432239, -0.2200659, 0.0002432239, -0.2200659, 0, 0
Line.18CF_435, 6.163929E-006, -0.07230281, 6.163929E-006, -0.07230281, 0, 0
Line.18CF_497, 0.0001892227, -0.07029139, 0.0001892227, -0.07029139, 0, 0
Line.18CF_849, 1.649786E-005, -0.07664422, 1.649786E-005, -0.07664422, 0, 0
Line.18CS_1106, 0.0002135647, -0.2200984, 0.0002135647, -0.2200984, 0, 0
Line.18CS_922, 0.004796949, -0.2155645, 0.004796949, -0.2155645, 0, 0
Line.18FR_1395, 0.0001985275, -0.146435, 0.0001985275, -0.146435, 0, 0
Line.18FS_173, 0.0007729588, -0.07590821, 0.0007729588, -0.07590821, 0, 0
Line.18FS_373, 0.001015344, -0.07210445, 0.001015344, -0.07210445, 0, 0
Line.1CF_1165, -1.168491E-006, -0.1400024, -1.168491E-006, -0.1400024, 0, 0
Line.20CF_1096, 2.803092E-007, -0.07692223, 2.803092E-007, -0.07692223, 0, 0
Line.20CF_1149, 0.0001071781, -0.2222076, 0.0001071781, -0.2222076, 0, 0
Line.20CF_1150, 2.25015E-005, -0.07031899, 2.25015E-005, -0.07031899, 0, 0
Line.20CF_1151, 1.728394E-005, -0.07054049, 1.728394E-005, -0.07054049, 0, 0
Line.20CF_1339, 1.204899E-005, -0.0766875, 1.204899E-005, -0.0766875, 0, 0
Line.20CF_1377, -2.257728E-006, -0.07137468, -2.257728E-006, -0.07137468, 0, 0
Line.20CF_1383, 0.001519814, -0.07071621, 0.001519814, -0.07071621, 0, 0
Line.20CF_1384, 0.0005317367, -0.07168169, 0.0005317367, -0.07168169, 0, 0
Line.20CF_1386, 0.001429127, -0.0707922, 0.001429127, -0.0707922, 0, 0
Line.20CF_1387, 0.0003555721, -0.071878, 0.0003555721, -0.071878, 0, 0
Line.20CF_1425, 5.06971E-005, -0.220988, 5.06971E-005, -0.220988, 0, 0
Line.20CF_1446, -4.498863E-006, -0.07690878, -4.498863E-006, -0.07690878, 0, 0
Line.20CF_1915, 1.834701E-005, -0.07672262, 1.834701E-005, -0.07672262, 0, 0
Line.20CF_1925, 1.177823E-005, -0.220506, 1.177823E-005, -0.220506, 0, 0
Line.20CF_1938, 0.0002059494, -0.2212549, 0.0002059494, -0.2212549, 0, 0
Line.20CF_466, 5.537892E-006, -0.212576, 5.537892E-006, -0.212576, 0, 0
Line.20CF_468, 7.986745E-005, -0.2220138, 7.986745E-005, -0.2220138, 0, 0
Line.20CF_470, 0.0003934892, -0.2214597, 0.0003934892, -0.2214597, 0, 0
Line.20CF_471, 0.001874286, -0.219928, 0.001874286, -0.219928, 0, 0
Line.20CF_473, 7.652584E-006, -0.2214845, 7.652584E-006, -0.2214845, 0, 0
Line.20CF_474, 0.0002144888, -0.2210984, 0.0002144888, -0.2210984, 0, 0
Line.20CF_475, 1.928352E-005, -0.07679542, 1.928352E-005, -0.07679542, 0, 0
Line.20CF_476, 0.05976336, -0.1608672, 0.05976336, -0.1608672, 0, 0
Line.20CF_479, 2.77094E-006, -0.1416416, 2.77094E-006, -0.1416416, 0, 0
Line.20CF_483, 6.674664E-005, -0.2201911, 6.674664E-005, -0.2201911, 0, 0
Line.20CF_486, 3.897894E-005, -0.07126863, 3.897894E-005, -0.07126863, 0, 0
Line.20CF_487, 1.591023E-006, -0.07665824, 1.591023E-006, -0.07665824, 0, 0
Line.20CF_698, 0.0002810749, -0.2201563, 0.0002810749, -0.2201563, 0, 0
Line.20CF_729, 1.08859E-006, -0.0767253, 1.08859E-006, -0.0767253, 0, 0
Line.20CF_817, 0.0001045555, -0.2218278, 0.0001045555, -0.2218278, 0, 0
Line.20CF_910, -2.43256E-005, -0.2132748, -2.43256E-005, -0.2132748, 0, 0
Line.20CS_1108, 0.08706841, -0.1350306, 0.08706841, -0.1350306, 0, 0
Line.20CS_1289, 1.119986, 0.8978715, 1.119986, 0.8978715, 0, 0
Line.20CS_1659, 1.544974E-005, -0.2220882, 1.544974E-005, -0.2220882, 0, 0
Line.20CS_276, 0.6449418, 0.4242805, 0.6449418, 0.4242805, 0, 0
Line.20CS_467, 2.367561, 2.155516, 2.367561, 2.155516, 0, 0
Line.20CS_482, 0.001023676, -0.1455577, 0.001023676, -0.1455577, 0, 0
Line.20CS_697, 0.0005243215, -0.2198747, 0.0005243215, -0.2198747, 0, 0
Line.20FR_1246, 0.000538873, -0.2198516, 0.000538873, -0.2198516, 0, 0
Line.20FR_1877, 0.0005347082, -0.219867, 0.0005347082, -0.219867, 0, 0
Line.20FR_469, 0.001654956, -0.070291, 0.001654956, -0.070291, 0, 0
Line.20FR_477, 0.01871383, -0.2018545, 0.01871383, -0.2018545, 0, 0
Line.20FR_480, 9.126255E-006, -0.1466397, 9.126255E-006, -0.1466397, 0, 0
Line.20FR_484, 0.0002294602, -0.07202289, 0.0002294602, -0.07202289, 0, 0
Line.20FR_999, 0.002369586, -0.2191219, 0.002369586, -0.2191219, 0, 0
Line.20FS_481, 0.006589521, -0.06570974, 0.006589521, -0.06570974, 0, 0
Line.20FS_699, 0.01608825, -0.05624361, 0.01608825, -0.05624361, 0, 0
Line.20RL_1579, 2.005655, 1.783261, 2.005655, 1.783261, 0, 0
Line.20RL_472, 0.7894904, 0.5678317, 0.7894904, 0.5678317, 0, 0
Line.20SA_478, 0.2369612, 0.01643655, 0.2369612, 0.01643655, 0, 0
Line.22CF_1024, 0.002227208, -0.2129362, 0.002227208, -0.2129362, 0, 0
Line.22CF_1101, 2.154331E-005, -0.07180501, 2.154331E-005, -0.07180501, 0, 0
Line.22CF_1186, 0.006485867, -0.2064267, 0.006485867, -0.2064267, 0, 0
Line.22CF_1272, 0.001912081, -0.2130528, 0.001912081, -0.2130528, 0, 0
Line.22CF_1349, -1.035747E-005, -0.2158613, -1.035747E-005, -0.2158613, 0, 0
Line.22CF_1354, 0.0001002004, -0.2162297, 0.0001002004, -0.2162297, 0, 0
Line.22CF_1435, 6.031004E-005, -0.2127337, 6.031004E-005, -0.2127337, 0, 0
Line.22CF_1445, 7.303172E-005, -0.07186468, 7.303172E-005, -0.07186468, 0, 0
Line.22CF_1447, -4.110435E-005, -0.2155876, -4.110435E-005, -0.2155876, 0, 0
Line.22CF_1475, 1.05985E-005, -0.07078335, 1.05985E-005, -0.07078335, 0, 0
Line.22CF_1510, 1.622001E-005, -0.2163845, 1.622001E-005, -0.2163845, 0, 0
Line.22CF_1681, 6.176074E-005, -0.2128075, 6.176074E-005, -0.2128075, 0, 0
Line.22CF_1708, 1.168868E-005, -0.2156063, 1.168868E-005, -0.2156063, 0, 0
Line.22CF_1742, -1.029359E-005, -0.2135635, -1.029359E-005, -0.2135635, 0, 0
Line.22CF_1744, -1.63946E-005, -0.2153587, -1.63946E-005, -0.2153587, 0, 0
Line.22CF_1814, 1.461298E-005, -0.07189665, 1.461298E-005, -0.07189665, 0, 0
Line.22CF_223, -6.878234E-006, -0.2133238, -6.878234E-006, -0.2133238, 0, 0
Line.22CF_232, -1.125524E-005, -0.2156713, -1.125524E-005, -0.2156713, 0, 0
Line.22CF_275, 6.598852E-005, -0.07150862, 6.598852E-005, -0.07150862, 0, 0
Line.22CF_442, 0.0002970675, -0.2158083, 0.0002970675, -0.2158083, 0, 0
